run,method,basis,pseudopotential,bond-length,S,L,E,conv
0,UB3LYP,vdz,trail,1.725,1,1,-213.2969543528283,False
0,UB3LYP,vtz,trail,1.725,1,1,-213.30538514656718,False
2,UB3LYP,vdz,trail,1.725,3,2,-213.4266313470741,True
2,UB3LYP,vtz,trail,1.725,3,2,-213.43664571111762,True
3,UB3LYP,vdz,trail,1.725,1,-2,-213.41970032783814,True
3,UB3LYP,vtz,trail,1.725,1,-2,-213.42956575455443,True
4,UB3LYP,vdz,trail,1.725,1,1,-213.07907645795729,False
4,UB3LYP,vtz,trail,1.725,1,1,-213.09393291703893,False
6,UB3LYP,vdz,trail,1.725,1,1,-213.57947494063387,False
6,UB3LYP,vtz,trail,1.725,1,1,-213.59259263691808,False
7,UB3LYP,vdz,trail,1.725,1,1,-213.12583114283578,False
7,UB3LYP,vtz,trail,1.725,1,1,-213.14106047874682,False
8,UB3LYP,vdz,trail,1.725,3,4,-213.19570741196782,False
8,UB3LYP,vtz,trail,1.725,3,4,-213.20817815902078,False
10,UB3LYP,vdz,trail,1.725,1,1,-213.3136789846042,False
10,UB3LYP,vtz,trail,1.725,1,1,-213.32186615608077,False
11,UB3LYP,vdz,trail,1.725,1,0,-213.35228602635326,True
11,UB3LYP,vtz,trail,1.725,1,0,-213.36052076793908,True
12,UB3LYP,vdz,trail,1.725,1,1,-213.23525030088473,False
12,UB3LYP,vtz,trail,1.725,1,1,-213.24305024814072,False
13,UB3LYP,vdz,trail,1.725,1,0,-213.1631979721716,False
13,UB3LYP,vtz,trail,1.725,1,0,-213.17585593248975,False
14,UB3LYP,vdz,trail,1.725,1,0,-213.1632776358184,False
14,UB3LYP,vtz,trail,1.725,1,0,-213.17594472912822,False
15,UB3LYP,vdz,trail,1.725,1,0,-213.10350711404323,True
15,UB3LYP,vtz,trail,1.725,1,0,-213.12059904805335,True
16,UB3LYP,vdz,trail,1.725,3,3,-213.34597419851858,False
16,UB3LYP,vtz,trail,1.725,3,3,-213.3538258677235,False
19,UB3LYP,vdz,trail,1.725,1,2,-213.27335121889612,False
19,UB3LYP,vtz,trail,1.725,1,2,-213.2812466714595,False
21,UB3LYP,vdz,trail,1.725,3,3,-213.47717856633653,False
21,UB3LYP,vtz,trail,1.725,3,3,-213.48533839525834,False
23,UB3LYP,vdz,trail,1.725,1,0,-213.1504186802146,True
23,UB3LYP,vtz,trail,1.725,1,0,-213.1678118473792,True
24,UB3LYP,vdz,trail,1.725,1,1,-213.31367419647083,False
24,UB3LYP,vtz,trail,1.725,1,1,-213.3196879921085,False
26,UB3LYP,vdz,trail,1.725,1,2,-213.32917381258017,False
26,UB3LYP,vtz,trail,1.725,1,2,-213.33784055987252,False
27,UB3LYP,vdz,trail,1.725,1,2,-213.27380609999003,False
27,UB3LYP,vtz,trail,1.725,1,2,-213.281628484276,False
29,UB3LYP,vdz,trail,1.725,1,3,-213.14283060682618,False
29,UB3LYP,vtz,trail,1.725,1,3,-213.1585807504103,False
30,UB3LYP,vdz,trail,1.725,1,-1,-213.4709726076087,False
30,UB3LYP,vtz,trail,1.725,1,-1,-213.47917786257625,False
31,UB3LYP,vdz,trail,1.725,3,1,-213.52079694189172,False
31,UB3LYP,vtz,trail,1.725,3,1,-213.5082491078086,False
32,UB3LYP,vdz,trail,1.725,3,5,-213.14401902499299,False
32,UB3LYP,vtz,trail,1.725,3,5,-213.15978955932792,False
33,UB3LYP,vdz,trail,1.725,1,0,-213.5383552796095,True
33,UB3LYP,vtz,trail,1.725,1,0,-213.55346779750275,True
34,UB3LYP,vdz,trail,1.725,1,1,-213.125799558913,False
34,UB3LYP,vtz,trail,1.725,1,1,-213.14097767041397,False
40,UB3LYP,vdz,trail,1.725,3,4,-213.3598720452023,True
40,UB3LYP,vtz,trail,1.725,3,4,-213.3680115609845,True
41,UB3LYP,vdz,trail,1.725,3,4,-213.19781538550842,False
41,UB3LYP,vtz,trail,1.725,3,4,-213.21031941915658,False
42,UB3LYP,vdz,trail,1.725,1,0,-213.15041815801376,True
42,UB3LYP,vtz,trail,1.725,1,0,-213.16781125555676,True
44,UB3LYP,vdz,trail,1.725,1,-1,-213.47091551851008,False
44,UB3LYP,vtz,trail,1.725,1,-1,-213.4791316409221,False
47,UB3LYP,vdz,trail,1.725,1,2,-213.33069183438258,False
47,UB3LYP,vtz,trail,1.725,1,2,-213.3365843257727,False
48,UB3LYP,vdz,trail,1.725,1,2,-213.27332879542996,False
48,UB3LYP,vtz,trail,1.725,1,2,-213.28123938988256,False
52,UB3LYP,vdz,trail,1.725,1,0,-213.50562544174076,False
52,UB3LYP,vtz,trail,1.725,1,0,-213.51391940365738,False
53,UB3LYP,vdz,trail,1.725,3,0,-213.42607073345766,True
53,UB3LYP,vtz,trail,1.725,3,0,-213.43734166615565,True
55,UB3LYP,vdz,trail,1.725,1,1,-213.0789160797525,False
55,UB3LYP,vtz,trail,1.725,1,1,-213.09370539247092,False
60,UB3LYP,vdz,trail,1.725,3,5,-213.14403306812198,False
60,UB3LYP,vtz,trail,1.725,3,5,-213.1599224131938,False
62,UB3LYP,vdz,trail,1.725,1,4,-213.1668309581301,True
62,UB3LYP,vtz,trail,1.725,1,4,-213.18487879514953,True
63,UB3LYP,vdz,trail,1.725,3,4,-213.35980910412218,True
63,UB3LYP,vtz,trail,1.725,3,4,-213.36794817749455,True
64,UB3LYP,vdz,trail,1.725,3,4,-213.19570192741054,False
64,UB3LYP,vtz,trail,1.725,3,4,-213.20823456801085,False
67,UB3LYP,vdz,trail,1.725,1,0,-213.35234289037788,True
67,UB3LYP,vtz,trail,1.725,1,0,-213.36057799360117,True
68,UB3LYP,vdz,trail,1.725,1,2,-213.52030105084484,True
68,UB3LYP,vtz,trail,1.725,1,2,-213.5301078060801,True
69,UB3LYP,vdz,trail,1.725,3,3,-213.47723023804096,False
69,UB3LYP,vtz,trail,1.725,3,3,-213.4853908275374,False
70,UB3LYP,vdz,trail,1.725,1,0,-213.1632636319916,False
70,UB3LYP,vtz,trail,1.725,1,0,-213.17596730080996,False
71,UB3LYP,vdz,trail,1.725,3,4,-213.1696092323696,True
71,UB3LYP,vtz,trail,1.725,3,4,-213.18754096251425,True
73,UB3LYP,vdz,trail,1.725,1,3,-213.4667677903622,False
73,UB3LYP,vtz,trail,1.725,1,3,-213.47492904106915,False
76,UB3LYP,vdz,trail,1.725,1,1,-213.2353140938259,False
76,UB3LYP,vtz,trail,1.725,1,1,-213.2430412868628,False
78,UB3LYP,vdz,trail,1.725,1,1,-213.4705974785505,False
78,UB3LYP,vtz,trail,1.725,1,1,-213.47879833183174,False
84,UB3LYP,vdz,trail,1.725,1,0,-213.46139377046038,False
84,UB3LYP,vtz,trail,1.725,1,0,-213.47017036945556,False
89,UB3LYP,vdz,trail,1.725,1,1,-213.07890962695458,False
89,UB3LYP,vtz,trail,1.725,1,1,-213.0938546201241,False
93,UB3LYP,vdz,trail,1.725,3,3,-213.34602077845295,False
93,UB3LYP,vtz,trail,1.725,3,3,-213.35405981989874,False
99,UB3LYP,vdz,trail,1.725,1,1,-213.57904125573071,False
99,UB3LYP,vtz,trail,1.725,1,1,-213.59338912140853,False
100,UB3LYP,vdz,trail,1.725,3,3,-213.47715127901498,False
100,UB3LYP,vtz,trail,1.725,3,3,-213.485347157288,False
101,UB3LYP,vdz,trail,1.725,1,0,-213.1033456469497,True
101,UB3LYP,vtz,trail,1.725,1,0,-213.1204403339872,True
103,UB3LYP,vdz,trail,1.725,1,3,-213.46669737264313,False
103,UB3LYP,vtz,trail,1.725,1,3,-213.4749579012528,False
105,UB3LYP,vdz,trail,1.725,1,-1,-213.47097264304767,False
105,UB3LYP,vtz,trail,1.725,1,-1,-213.47917580285582,False
106,UB3LYP,vdz,trail,1.725,1,1,-213.47056217988876,False
106,UB3LYP,vtz,trail,1.725,1,1,-213.47866601786782,False
111,UB3LYP,vdz,trail,1.725,1,3,-213.4667799306762,False
111,UB3LYP,vtz,trail,1.725,1,3,-213.4750385429828,False
112,UB3LYP,vdz,trail,1.725,1,-1,-213.5118030321706,False
112,UB3LYP,vtz,trail,1.725,1,-1,-213.52132450067916,False
117,UB3LYP,vdz,trail,1.725,1,-2,-213.41964565398547,True
117,UB3LYP,vtz,trail,1.725,1,-2,-213.42951061272325,True
118,UB3LYP,vdz,trail,1.725,3,1,-213.52069135589426,False
118,UB3LYP,vtz,trail,1.725,3,1,-213.50705034446713,False
119,UB3LYP,vdz,trail,1.725,1,3,-213.14283060718506,False
119,UB3LYP,vtz,trail,1.725,1,3,-213.15863670636872,False
122,UB3LYP,vdz,trail,1.725,1,-1,-213.5118160327286,False
122,UB3LYP,vtz,trail,1.725,1,-1,-213.52141148445327,False
123,UB3LYP,vdz,trail,1.725,1,1,-213.47057662994084,False
123,UB3LYP,vtz,trail,1.725,1,1,-213.4788238770093,False
124,UB3LYP,vdz,trail,1.725,3,2,-213.47028368361134,False
124,UB3LYP,vtz,trail,1.725,3,2,-213.47844376231353,False
125,UB3LYP,vdz,trail,1.725,1,2,-213.4778227321802,False
125,UB3LYP,vtz,trail,1.725,1,2,-213.48921461287645,False
126,UB3LYP,vdz,trail,1.725,1,1,-213.29689169116796,False
126,UB3LYP,vtz,trail,1.725,1,1,-213.30546758748616,False
127,UB3LYP,vdz,trail,1.725,1,0,-213.16321099634135,False
127,UB3LYP,vtz,trail,1.725,1,0,-213.17582731353252,False
129,UB3LYP,vdz,trail,1.725,3,2,-213.47028373758326,False
129,UB3LYP,vtz,trail,1.725,3,2,-213.47846147256905,False
130,UB3LYP,vdz,trail,1.725,1,2,-212.45413826113028,True
130,UB3LYP,vtz,trail,1.725,1,2,-212.49375597330194,True
132,UB3LYP,vdz,trail,1.725,1,2,-213.46157640542742,False
132,UB3LYP,vtz,trail,1.725,1,2,-213.46971465631955,False
133,UB3LYP,vdz,trail,1.725,1,2,-213.3313152823378,False
133,UB3LYP,vtz,trail,1.725,1,2,-213.33584172512485,False
134,UB3LYP,vdz,trail,1.725,1,2,-213.4615763200561,False
134,UB3LYP,vtz,trail,1.725,1,2,-213.46974952605282,False
135,UB3LYP,vdz,trail,1.725,1,2,-212.45422811705427,True
135,UB3LYP,vtz,trail,1.725,1,2,-212.49384205000314,True
136,UB3LYP,vdz,trail,1.725,1,0,-213.46136960897655,False
136,UB3LYP,vtz,trail,1.725,1,0,-213.47022430311125,False
139,UB3LYP,vdz,trail,1.725,1,3,-213.46671678228972,False
139,UB3LYP,vtz,trail,1.725,1,3,-213.47492988414754,False
140,UB3LYP,vdz,trail,1.725,1,-1,-213.47091396710832,False
140,UB3LYP,vtz,trail,1.725,1,-1,-213.47910488263165,False
142,UB3LYP,vdz,trail,1.725,3,2,-213.52818959814996,True
142,UB3LYP,vtz,trail,1.725,3,2,-213.5379605770467,True
145,UB3LYP,vdz,trail,1.725,1,1,-213.07907687724116,False
145,UB3LYP,vtz,trail,1.725,1,1,-213.09393316460563,False
148,UB3LYP,vdz,trail,1.725,3,2,-213.4266859732309,True
148,UB3LYP,vtz,trail,1.725,3,2,-213.4367006528919,True
149,UB3LYP,vdz,trail,1.725,1,0,-213.50548520747833,False
149,UB3LYP,vtz,trail,1.725,1,0,-213.51475370553862,False
152,UB3LYP,vdz,trail,1.725,1,1,-213.12583108830046,False
152,UB3LYP,vtz,trail,1.725,1,1,-213.1410822181189,False
157,UB3LYP,vdz,trail,1.725,1,1,-213.47056892784764,False
157,UB3LYP,vtz,trail,1.725,1,1,-213.47878590729636,False
158,UB3LYP,vdz,trail,1.725,1,2,-213.4787348834949,False
158,UB3LYP,vtz,trail,1.725,1,2,-213.48744337510254,False
161,UB3LYP,vdz,trail,1.725,3,4,-213.19782559088674,False
161,UB3LYP,vtz,trail,1.725,3,4,-213.21040240330308,False
163,UB3LYP,vdz,trail,1.725,1,2,-213.33033397460042,False
163,UB3LYP,vtz,trail,1.725,1,2,-213.33808736106215,False
170,UB3LYP,vdz,trail,1.725,1,2,-213.27401543224363,False
170,UB3LYP,vtz,trail,1.725,1,2,-213.28157203952716,False
173,UB3LYP,vdz,trail,1.725,3,3,-213.47720721037086,False
173,UB3LYP,vtz,trail,1.725,3,3,-213.48539563184,False
175,UB3LYP,vdz,trail,1.725,1,1,-213.12577341152954,False
175,UB3LYP,vtz,trail,1.725,1,1,-213.1409448825633,False
